生徒さん名,弾きたい曲,目標レベル,開始日,完成予定日
[お名前を入力],,[初級/中級/上級],,[日付]

週,メインテーマ,達成目標,練習内容,備考
1,基礎確認,ドレミの位置・指使いを確認,「ドレミファソラシド」を繰り返す,楽譜を見て習う
2,基礎定着,左手の基本を学ぶ,左手のみで簡単なフレーズ,手の形を意識
3,右手メイン,右手で最初の8小節,ゆっくり丁寧に,テンポは遅めでOK
4,右手完成,右手全体を繋ぐ,何度も繰り返し練習,流れを大事に
5,両手開始,簡単な箇所で両手を合わせる,右手と左手のバランス,焦らずゆっくり
6,両手定着,前半を両手で繋ぐ,リズムを正確に,メトロノーム使用
7,両手完成,全体を両手で通す,曲全体の流れを掴む,つっかえても止めない
8,仕上げ開始,テンポを上げる,少しずつ速くする,自分のペースで
9,仕上げ中盤,感情を入れる,強弱・テンポ変化を意識,プロの演奏を聞く
10,仕上げ後半,難しい箇所の集中練習,繰り返し練習,ここが勝負
11,本番準備,通し練習,ミスがあっても止めない,本番を想定
12,完成・発表,ミニ発表会本番,堂々と弾く,喜びを感じる！

レッスンの進め方：
- 毎週のレッスンでここまでの進捗を確認
- うまくいかない箇所は前の週に戻ることもOK
- 生徒さんのペースに合わせて柔軟に調整
- 毎週「今週の練習メモ」をLINEで送る
